Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
93	Spectrogram 1	1	774.0	777.0	0	15000	Common Yellowthroat	comyel	0.0778	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	774.0
94	Spectrogram 1	1	792.0	795.0	0	15000	Common Yellowthroat	comyel	0.0894	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	792.0
95	Spectrogram 1	1	804.0	807.0	0	15000	Field Sparrow	fiespa	0.0804	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	804.0
96	Spectrogram 1	1	822.0	825.0	0	15000	Common Yellowthroat	comyel	0.0513	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	822.0
97	Spectrogram 1	1	825.0	828.0	0	15000	Common Yellowthroat	comyel	0.0524	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	825.0
98	Spectrogram 1	1	831.0	834.0	0	15000	Common Yellowthroat	comyel	0.0961	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	831.0
99	Spectrogram 1	1	837.0	840.0	0	15000	Common Yellowthroat	comyel	0.1267	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	837.0
100	Spectrogram 1	1	852.0	855.0	0	15000	Common Yellowthroat	comyel	0.1033	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	852.0
101	Spectrogram 1	1	858.0	861.0	0	15000	Common Yellowthroat	comyel	0.2843	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	858.0
102	Spectrogram 1	1	861.0	864.0	0	15000	Common Yellowthroat	comyel	0.1109	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	861.0
103	Spectrogram 1	1	861.0	864.0	0	15000	Field Sparrow	fiespa	0.0700	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	861.0
104	Spectrogram 1	1	864.0	867.0	0	15000	Common Yellowthroat	comyel	0.2486	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	864.0
105	Spectrogram 1	1	864.0	867.0	0	15000	Field Sparrow	fiespa	0.0763	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	864.0
106	Spectrogram 1	1	870.0	873.0	0	15000	Common Yellowthroat	comyel	0.0647	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	870.0
107	Spectrogram 1	1	873.0	876.0	0	15000	Common Yellowthroat	comyel	0.0880	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	873.0
108	Spectrogram 1	1	876.0	879.0	0	15000	Common Yellowthroat	comyel	0.0773	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	876.0
109	Spectrogram 1	1	879.0	882.0	0	15000	Field Sparrow	fiespa	0.1587	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	879.0
110	Spectrogram 1	1	882.0	885.0	0	15000	Field Sparrow	fiespa	0.0860	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	882.0
111	Spectrogram 1	1	882.0	885.0	0	15000	Common Yellowthroat	comyel	0.0764	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	882.0
112	Spectrogram 1	1	885.0	888.0	0	15000	Common Yellowthroat	comyel	0.0788	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	885.0
113	Spectrogram 1	1	888.0	891.0	0	15000	Field Sparrow	fiespa	0.2641	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	888.0
114	Spectrogram 1	1	888.0	891.0	0	15000	Common Yellowthroat	comyel	0.1389	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	888.0
115	Spectrogram 1	1	891.0	894.0	0	15000	Common Yellowthroat	comyel	0.0927	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	891.0
116	Spectrogram 1	1	894.0	897.0	0	15000	Common Yellowthroat	comyel	0.2163	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	894.0
117	Spectrogram 1	1	894.0	897.0	0	15000	Field Sparrow	fiespa	0.0770	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	894.0
118	Spectrogram 1	1	897.0	900.0	0	15000	Field Sparrow	fiespa	0.0519	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	897.0
119	Spectrogram 1	1	900.0	903.0	0	15000	Common Yellowthroat	comyel	0.2147	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	900.0
120	Spectrogram 1	1	903.0	906.0	0	15000	Common Yellowthroat	comyel	0.0839	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	903.0
121	Spectrogram 1	1	903.0	906.0	0	15000	Field Sparrow	fiespa	0.0679	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	903.0
122	Spectrogram 1	1	906.0	909.0	0	15000	Common Yellowthroat	comyel	0.1130	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	906.0
123	Spectrogram 1	1	909.0	912.0	0	15000	Field Sparrow	fiespa	0.2227	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	909.0
124	Spectrogram 1	1	912.0	915.0	0	15000	Common Yellowthroat	comyel	0.0581	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	912.0
125	Spectrogram 1	1	915.0	918.0	0	15000	Field Sparrow	fiespa	0.1304	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	915.0
126	Spectrogram 1	1	915.0	918.0	0	15000	Common Yellowthroat	comyel	0.1116	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	915.0
127	Spectrogram 1	1	924.0	927.0	0	15000	Field Sparrow	fiespa	0.0721	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	924.0
128	Spectrogram 1	1	927.0	930.0	0	15000	Field Sparrow	fiespa	0.2330	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	927.0
129	Spectrogram 1	1	930.0	933.0	0	15000	Field Sparrow	fiespa	0.1710	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	930.0
130	Spectrogram 1	1	933.0	936.0	0	15000	Common Yellowthroat	comyel	0.0890	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	933.0
131	Spectrogram 1	1	933.0	936.0	0	15000	Field Sparrow	fiespa	0.0699	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	933.0
132	Spectrogram 1	1	936.0	939.0	0	15000	Field Sparrow	fiespa	0.1071	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	936.0
133	Spectrogram 1	1	939.0	942.0	0	15000	Common Yellowthroat	comyel	0.2733	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	939.0
134	Spectrogram 1	1	942.0	945.0	0	15000	Common Yellowthroat	comyel	0.1827	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	942.0
135	Spectrogram 1	1	942.0	945.0	0	15000	Field Sparrow	fiespa	0.1182	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	942.0
136	Spectrogram 1	1	945.0	948.0	0	15000	Common Yellowthroat	comyel	0.1429	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	945.0
137	Spectrogram 1	1	945.0	948.0	0	15000	Field Sparrow	fiespa	0.1161	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	945.0
138	Spectrogram 1	1	948.0	951.0	0	15000	Common Yellowthroat	comyel	0.0941	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	948.0
139	Spectrogram 1	1	948.0	951.0	0	15000	Field Sparrow	fiespa	0.0860	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	948.0
140	Spectrogram 1	1	951.0	954.0	0	15000	Common Yellowthroat	comyel	0.2187	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	951.0
141	Spectrogram 1	1	954.0	957.0	0	15000	Common Yellowthroat	comyel	0.1853	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	954.0
142	Spectrogram 1	1	957.0	960.0	0	15000	Common Yellowthroat	comyel	0.7206	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	957.0
143	Spectrogram 1	1	960.0	963.0	0	15000	Common Yellowthroat	comyel	0.1200	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	960.0
144	Spectrogram 1	1	960.0	963.0	0	15000	Field Sparrow	fiespa	0.0632	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	960.0
145	Spectrogram 1	1	963.0	966.0	0	15000	Field Sparrow	fiespa	0.1773	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	963.0
146	Spectrogram 1	1	966.0	969.0	0	15000	Common Yellowthroat	comyel	0.1907	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	966.0
147	Spectrogram 1	1	972.0	975.0	0	15000	Common Yellowthroat	comyel	0.2671	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	972.0
148	Spectrogram 1	1	972.0	975.0	0	15000	Field Sparrow	fiespa	0.0871	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	972.0
149	Spectrogram 1	1	975.0	978.0	0	15000	Common Yellowthroat	comyel	0.1633	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	975.0
